country,date,lineage,n
United Kingdom,2021-03-01,B.1.177.7,2
United Kingdom,2021-02-28,B.1.177.10,1
United Kingdom,2021-02-28,B.1.177.7,4
United Kingdom,2021-08-31,AY.108,1
United Kingdom,2021-02-24,B.1.177,12
United Kingdom,2021-02-09,B.1.177.63,1
United Kingdom,2021-02-12,B.1.525,1
United Kingdom,2022-01-12,BA.2.2.1,2
United Kingdom,2021-02-10,A.21,1
United Kingdom,2021-01-23,B.1.1.170,1
United Kingdom,2021-02-13,B.1.177.10,3
United Kingdom,2021-02-12,B.1.177.10,3
United Kingdom,2021-02-12,Q.1,1
United Kingdom,2021-04-01,B.1.351,4
United Kingdom,2021-02-16,B.1.525,1
United Kingdom,2021-02-18,B.1,3
United Kingdom,2021-01-16,B.1.177.54,5
United Kingdom,2021-01-08,B.1.177.54,4
United Kingdom,2020-12-30,Q.4,1
United Kingdom,2021-02-11,B.1.177.18,1
United Kingdom,2021-02-01,W.4,1
United Kingdom,2021-02-08,W.4,1
United Kingdom,2021-02-10,B.1.1.318,2
United Kingdom,2021-01-20,B.1.525,3
United Kingdom,2021-02-07,B.1.1.318,3
United Kingdom,2021-01-12,B.1.177.52,1
United Kingdom,2021-01-24,B.1.351,2
United Kingdom,2021-01-13,Q.1,1
United Kingdom,2020-10-10,B.1.1.279,2
United Kingdom,2020-11-17,B.1.160.7,3
United Kingdom,2020-11-19,B.1.160.7,5
United Kingdom,2020-11-11,B.1.160.7,4
United Kingdom,2020-11-25,B.1.160.7,1
United Kingdom,2021-02-21,B.1.177.15,3
United Kingdom,2020-06-05,B.1,6
United Kingdom,2020-05-28,B.1.1,29
United Kingdom,2020-05-27,B.1.1.369,20
United Kingdom,2021-02-22,B.1.177.4,1
United Kingdom,2021-02-22,B.1.258,4
United Kingdom,2020-08-05,B.1.1.305,2
United Kingdom,2021-02-27,B.1.177.4,1
United Kingdom,2021-02-22,B.1.617.1,2
United Kingdom,2021-02-22,B.1.562,2
United Kingdom,2021-02-22,A.27,1
United Kingdom,2021-02-21,B.1.525,5
United Kingdom,2021-02-21,B.1.36,1
United Kingdom,2021-03-04,B.1.177.10,1
United Kingdom,2021-03-03,P.2,1
United Kingdom,2021-03-01,L.3,1
United Kingdom,2021-03-03,B.1.160,1
United Kingdom,2020-11-30,B.1.177.87,4
United Kingdom,2021-06-06,AZ.2,1
United Kingdom,2021-03-01,B.1.177.8,1
United Kingdom,2021-02-17,B.1.177.10,5
United Kingdom,2021-03-03,B.1.177.54,1
United Kingdom,2021-02-27,B.1.351,2
United Kingdom,2021-03-03,B.1.1.318,1
United Kingdom,2021-03-03,B.1.560,1
United Kingdom,2021-03-04,B.1.243,1
United Kingdom,2021-02-27,B.1.526,1
United Kingdom,2021-03-01,P.2,1
United Kingdom,2021-03-01,Q.4,1
United Kingdom,2021-03-01,B.1.177.69,1
United Kingdom,2021-03-02,C.16,1
United Kingdom,2021-02-16,B.1.1,3
United Kingdom,2021-03-01,B.1.177.54,1
United Kingdom,2021-02-13,B.1.177.17,1
United Kingdom,2021-04-03,Q.1,4
United Kingdom,2021-02-21,B.1.177.10,5
United Kingdom,2021-02-22,B.1.351,1
United Kingdom,2021-02-23,B.1.177.54,1
United Kingdom,2021-02-23,B.1.240.2,1
United Kingdom,2021-02-16,B.1.466.1,1
United Kingdom,2021-03-01,B.1.620,1
United Kingdom,2021-02-26,R.1,2
United Kingdom,2021-02-16,B.1.1.311,1
United Kingdom,2021-01-27,B.1.1.1,2
South Korea,2022-10-24,BA.5.2.27,1
United Kingdom,2021-02-24,B.1.1.420,3
United Kingdom,2022-01-13,AY.36,1
United Kingdom,2020-12-31,B.1.177.33,1
South Korea,2021-02-22,B.1.160,1
South Korea,2021-02-17,B.1.466,2
South Korea,2021-02-06,B.1.497,4
South Korea,2021-02-05,B.1.497,2
South Korea,2021-02-17,B.1.1.214,1
South Korea,2021-02-19,B.1.1,1
South Korea,2021-02-20,B.1.1.372,1
South Korea,2021-02-18,B.1.466.2,1
South Korea,2021-02-16,B.1,1
United Kingdom,2020-07-23,B.1.1.255,4
United Kingdom,2021-02-12,B.1.177.55,1
United Kingdom,2022-02-06,AY.5,1
United Kingdom,2021-02-24,B.1.177.7,5
United Kingdom,2021-02-25,B.1.525,4
United Kingdom,2021-03-03,B.1.1,1
United Kingdom,2021-03-02,L.3,1
United Kingdom,2021-03-03,B.1.1.294,1
United Kingdom,2021-02-28,B.1.177.4,1
United Kingdom,2021-03-01,B.1.177.77,1
United Kingdom,2021-02-24,B.1.177.55,1
United Kingdom,2022-06-23,BF.2,4
United Kingdom,2021-06-09,AY.98.1,1
United Kingdom,2020-10-13,B.1.1.307,14
United Kingdom,2021-01-31,A.23.1,1
South Korea,2021-01-20,B.1.429,1
United Kingdom,2022-06-26,BA.5.1.30,6
South Korea,2021-02-24,B.1.526,1
South Korea,2021-02-20,B.1.429,3
South Korea,2021-02-09,B.1.427,3
South Korea,2021-02-10,B.1.427,2
South Korea,2021-02-05,B.1.429,1
South Korea,2020-12-17,B.1.429,4
South Korea,2020-12-28,B.1.429,1
South Korea,2021-01-21,B.1.429,1
South Korea,2021-01-07,B.1.429,2
South Korea,2021-01-03,B.1.429,1
South Korea,2021-01-06,B.1.427,1
South Korea,2021-01-09,B.1.429,1
South Korea,2020-12-27,B.1.429,1
South Korea,2020-12-31,B.1.427,1
South Korea,2020-12-20,B.1.427,1
United Kingdom,2021-02-25,B.1.177.5,2
United Kingdom,2021-02-25,B.1.177.8,2
United Kingdom,2021-02-24,B.1.177.5,1
United Kingdom,2021-02-25,B.1.177.18,2
United Kingdom,2021-02-26,B.1.408,2
United Kingdom,2021-02-26,P.1,1
United Kingdom,2021-02-12,B.1.177.58,5
United Kingdom,2022-02-01,B.1.1.529,3
United Kingdom,2021-02-23,B.1.170,1
United Kingdom,2021-02-08,B.1.351,6
United Kingdom,2021-02-23,B.1.351,4
United Kingdom,2021-02-24,B.1.429,1
United Kingdom,2021-02-07,B.1.408,1
United Kingdom,2021-02-28,B.1.1.420,1
United Kingdom,2021-02-28,P.2,1
United Kingdom,2020-12-04,B.1.177.81,3
United Kingdom,2021-12-03,AY.104,1
United Kingdom,2021-12-07,B.1.637.1,1
United Kingdom,2021-12-08,AY.39,2
United Kingdom,2020-03-27,B.29,4
United Kingdom,2020-07-01,B.1.1.138,1
United Kingdom,2021-12-09,AY.98.1.1,1
United Kingdom,2021-12-02,AY.124.1.1,1
United Kingdom,2021-12-02,AY.20.1,1
United Kingdom,2020-11-13,B.1.164,1
United Kingdom,2021-12-07,AY.47,1
United Kingdom,2020-09-08,B.1.240,1
United Kingdom,2021-02-22,B.1.177.8,2
United Kingdom,2021-02-23,B.1.177.5,2
United Kingdom,2021-02-25,B.1.36,1
United Kingdom,2021-02-16,B.1.177.58,1
United Kingdom,2021-02-23,B.1.177.8,1
United Kingdom,2021-02-23,C.37,1
United Kingdom,2021-02-16,B.1.160,2
United Kingdom,2021-02-22,B.1.1.318,1
United Kingdom,2021-02-23,B.1.1.294,1
United Kingdom,2020-09-13,B.1.389,13
United Kingdom,2020-04-20,B.1.1.274,4
United Kingdom,2021-02-26,B.1.177.8,2
United Kingdom,2021-02-04,U.1,3
United Kingdom,2021-02-23,B.1.1.189,1
United Kingdom,2021-02-25,B.1.177.10,3
United Kingdom,2021-06-10,AY.121,1
United Kingdom,2020-05-11,B,1
United Kingdom,2021-06-11,B.1.351,1
United Kingdom,2021-05-26,Q.1,1
United Kingdom,2021-06-06,Q.1,1
United Kingdom,2021-06-12,AY.87,3
United Kingdom,2021-01-07,B.1.36.7,1
United Kingdom,2020-06-18,B.1.1.10,1
United Kingdom,2021-02-13,B.1.36.17,1
United Kingdom,2021-02-27,B.1.177.15,2
United Kingdom,2021-02-26,AA.4,1
United Kingdom,2021-02-23,AA.4,1
United Kingdom,2021-02-24,B.1.177.15,1
United Kingdom,2021-02-25,B.1.177.15,2
United Kingdom,2021-02-07,AA.2,1
United Kingdom,2021-02-23,B.1.177.15,1
United Kingdom,2021-02-07,B.1.177.7,15
United Kingdom,2021-02-07,AA.8,1
United Kingdom,2021-02-04,B.1.177.15,2
United Kingdom,2021-02-03,B.1.177.65,1
United Kingdom,2021-02-06,B.1.177.7,8
United Kingdom,2021-02-05,B.1.177.7,7
United Kingdom,2021-02-03,B.1.177.63,4
United Kingdom,2021-02-22,AA.5,1
United Kingdom,2020-07-04,B.1.1.37,9
United Kingdom,2021-02-22,B.1.177.63,2
United Kingdom,2021-02-28,B.1.1.519,1
United Kingdom,2021-02-19,AA.4,3
United Kingdom,2021-02-18,B.1.177.65,1
United Kingdom,2021-02-21,B.1.177.63,7
United Kingdom,2021-02-17,B.1.177.63,2
United Kingdom,2021-02-16,B.1.177.63,1
United Kingdom,2021-02-07,B.1.177.65,4
United Kingdom,2021-02-21,B.1.177.7,5
United Kingdom,2021-02-24,AA.4,1
United Kingdom,2021-02-19,B.1.177.63,4
United Kingdom,2021-02-20,B.1.177.7,6
United Kingdom,2021-02-03,A.21,1
United Kingdom,2021-01-19,B.1.1.1,1
United Kingdom,2021-01-18,B.1.177.4,9
United Kingdom,2021-01-16,B.1.1.311,2
United Kingdom,2021-02-16,B.1.177.16,4
United Kingdom,2021-02-23,B.1.1.351,1
United Kingdom,2021-02-17,P.1,1
United Kingdom,2020-03-27,B.1.78,1
