"country","lineage","peak_share","peak_share_logit","peak_share_cat"
"Canada","BC0 (BA.1.1.10)",0.0357181941101187,-3.29572338374914,"<0.10"
"Canada","BC6 (BA.1.1.16)",0.0586312929239142,-2.77606632458615,"0.10–0.20"
"Canada","BD (BA.1.17.2)",0.181808086707162,-1.50414525982125,"0.10–0.20"
"Canada","BE.1",0.0282182000380717,-3.53916413243432,"<0.10"
"Canada","BE.1.1",0.0204330389294264,-3.86995745140114,"<0.10"
"Canada","BF (BA.5.2.1)",0.265540067137807,-1.01736970260163,">0.20"
"Canada","BF.10",0.0487148304475517,-2.9718303700532,"<0.10"
"Canada","BF.7",0.0885156245549224,-2.33189536731239,"0.10–0.20"
"Canada","BG (BA.2.12.1)",0.44561956022338,-0.21838558144338,">0.20"
"Canada","BQ.1",0.132269177600874,-1.88104248368215,"0.10–0.20"
"Canada","BQ.1.1",0.532607213986127,0.130614230438429,">0.20"
"Canada","C57 (B.1.1.157)",0.388860544217687,-0.452104393810387,">0.20"
"Canada","C76 (B.1.1.176)",0.14271224376038,-1.79294331230838,"0.10–0.20"
"Canada","D (B.1.1.25)",0.0454236318531328,-3.04523515348016,"<0.10"
"Canada","EG.5.1",0.213568656689285,-1.30354706676816,">0.20"
"Canada","EG.5.1.1",0.162503229448864,-1.63971953252966,"0.10–0.20"
"Canada","FL.1.5.1",0.0723995539986479,-2.55040094706039,"0.10–0.20"
"Canada","HK.3",0.0956829359586459,-2.24614005854015,"0.10–0.20"
"Canada","HV.1",0.397054321651083,-0.41775400533023,">0.20"
"Canada","JD.1",0.0435699596137421,-3.08883973174606,"<0.10"
"Canada","JF (XBB.1.16.6)",0.064514582309834,-2.67417427730306,"0.10–0.20"
"Canada","JG.3",0.100061658082017,-2.19653967519703,"0.10–0.20"
"Canada","JN.1",0.631641079932643,0.539263532207763,">0.20"
"Canada","JN.1.4",0.243586315256517,-1.13311707141088,">0.20"
"Canada","L.1",0.139498447091084,-1.81946195107288,"0.10–0.20"
"Canada","P.1.14",0.261987169651753,-1.03566567797792,">0.20"
"Canada","Q (B.1.1.7)",0.603276327662681,0.419135347704151,">0.20"
"Canada","QB.1.147 (B.1.147)",0.3476409377098,-0.629424960451751,">0.20"
"Canada","XBB",0.00718884104949109,-4.92801050418666,"<0.10"
"Canada","XBB.1.16",0.181426935472492,-1.50670964592575,"0.10–0.20"
"Canada","XBB.1.5",0.710857524385817,0.899552460244933,">0.20"
"Denmark","AY.120.2.1",0.0507449199768587,-2.92886603678183,"0.10–0.20"
"Denmark","AY.121",0.0222697116546415,-3.78200631973099,"<0.10"
"Denmark","AY.125",0.0322614650135235,-3.40108845794526,"<0.10"
"Denmark","AY.126",0.0731358966716942,-2.53948764770367,"0.10–0.20"
"Denmark","AY.127",0.0291526255553532,-3.5056242927986,"<0.10"
"Denmark","AY.129",0.0431365612417403,-3.09928975786076,"<0.10"
"Denmark","AY.33",0.0889418923260577,-2.3266234184293,"0.10–0.20"
"Denmark","AY.36",0.0358657505320486,-3.29144773190132,"<0.10"
"Denmark","AY.4",0.0357692820821614,-3.29424111723457,"<0.10"
"Denmark","AY.4.15",0.0152962224030945,-4.16473496638397,"<0.10"
"Denmark","AY.4.2",0.0507119658777846,-2.92955036974073,"0.10–0.20"
"Denmark","AY.4.5",0.0144070755696997,-4.22552396889539,"<0.10"
"Denmark","AY.4.6",0.129695085057085,-1.90365743128994,"0.10–0.20"
"Denmark","AY.42",0.0444955098861368,-3.06685118025269,"<0.10"
"Denmark","AY.43",0.22113377160034,-1.25907148916063,">0.20"
"Denmark","AY.43.6",0.0662449035594512,-2.64585565996477,"0.10–0.20"
"Denmark","AY.46",0.0316827898600693,-3.41978610318773,"<0.10"
"Denmark","AY.46.6",0.028508779652108,-3.5286201337608,"<0.10"
"Denmark","AY.7.1",0.274442454836208,-0.972198784441573,">0.20"
"Denmark","AY.80",0.033154610042999,-3.37285682326264,"<0.10"
"Denmark","AY.9.2",0.0656427833359097,-2.65563115569673,"0.10–0.20"
"Denmark","AY.98.1",0.0276488598625671,-3.56013250201758,"<0.10"
"Denmark","BA.1 (BA.1)",0.489479587194776,-0.0420878629492374,">0.20"
"Denmark","BA.1.1 (BA.1.1)",0.143726030249061,-1.78468146337403,"0.10–0.20"
"Denmark","BA.2 (BA.2)",0.744053225182526,1.06714305950425,">0.20"
"Denmark","BA.2.9 (BA.2.9)",0.282943095596201,-0.929909400237309,">0.20"
"Denmark","BA.4 (BA.4)",0.0363884222254487,-3.2764376324756,"<0.10"
"Denmark","BA.4.1 (BA.4.1)",0.0410381458661038,-3.15134927624031,"<0.10"
"Denmark","BA.4.6 (BA.4.6)",0.0359746710409225,-3.28830246048978,"<0.10"
"Denmark","BA.5 (BA.5)",0.0599346016714092,-2.75269544990668,"0.10–0.20"
"Denmark","BA.5.1 (BA.5.1)",0.355549147243758,-0.594735075168705,">0.20"
"Denmark","BA.5.1.34 (BA.5.1.34)",0.0478777021979651,-2.99004360193301,"<0.10"
"Denmark","BA.5.11 (BA.5.11)",0.0675436927375553,-2.62504760665163,"0.10–0.20"
"Denmark","BA.5.2 (BA.5.2)",0.262994062543392,-1.03046449236509,">0.20"
"Denmark","BD (BA.1.17.2)",0.0931243459645137,-2.27606969135994,"0.10–0.20"
"Denmark","BE.1",0.0236348940996604,-3.72111241679775,"<0.10"
"Denmark","BE.1.1",0.0851549848088742,-2.37428172172698,"0.10–0.20"
"Denmark","BF (BA.5.2.1)",0.167769622933351,-1.60151755174704,"0.10–0.20"
"Denmark","BF.5",0.0402773751486886,-3.17085440966619,"<0.10"
"Denmark","BF.7",0.197164964722636,-1.40410849461574,"0.10–0.20"
"Denmark","BG (BA.2.12.1)",0.128740192129374,-1.91214386024544,"0.10–0.20"
"Denmark","BN.1",0.028847394368345,-3.51646394695833,"<0.10"
"Denmark","BN.1.2",0.0282132056477602,-3.53934627931179,"<0.10"
"Denmark","BN.1.3.1",0.0416067874692588,-3.13699483097541,"<0.10"
"Denmark","BN.1.4.4",0.0370890947277968,-3.25663790587157,"<0.10"
"Denmark","BQ.1",0.064316554223678,-2.67746016927591,"0.10–0.20"
"Denmark","BQ.1.1",0.265136433360529,-1.01944032199285,">0.20"
"Denmark","BQ.1.1.20",0.172612601756534,-1.56722323604219,"0.10–0.20"
"Denmark","BQ.1.18",0.0281170000605653,-3.54286104901046,"<0.10"
"Denmark","CH.1.1",0.134119648863433,-1.86501443284024,"0.10–0.20"
"Denmark","CH.1.1.12",0.0800016865289368,-2.4423241207944,"0.10–0.20"
"Denmark","DH (BA.5.1.22)",0.0213732406011419,-3.82401062267649,"<0.10"
"Denmark","DS.3",0.0253535514374711,-3.64915597200016,"<0.10"
"Denmark","XAY.2",0.0565094479216771,-2.81517850703759,"0.10–0.20"
"Denmark","XBB.1",0.0404286950348675,-3.16694682141468,"<0.10"
"Denmark","XBF",0.0579978750833931,-2.78760115694187,"0.10–0.20"
"France","A",0.110503899590506,-2.08560431232404,"0.10–0.20"
"France","A.27",0.028198801318579,-3.5398717848289,"<0.10"
"France","AY (B.1.617.2)",0.223296874955566,-1.24655603498405,">0.20"
"France","AY.122",0.239192231728879,-1.15711317634107,">0.20"
"France","AY.125",0.0854739150530752,-2.37019474885393,"0.10–0.20"
"France","AY.126",0.0333944924062382,-3.36539946892984,"<0.10"
"France","AY.33",0.0577054109248126,-2.79296700696631,"0.10–0.20"
"France","AY.34",0.048628649957544,-2.97369160755675,"<0.10"
"France","AY.4",0.142169676351305,-1.79738507379184,"0.10–0.20"
"France","AY.42",0.126135720628686,-1.93556660174609,"0.10–0.20"
"France","AY.43",0.415945764597696,-0.339438969157083,">0.20"
"France","AY.5",0.0736178051874543,-2.53239997208698,"0.10–0.20"
"France","AY.9.2",0.0371091715495755,-3.25607588863611,"<0.10"
"France","AY.98.1",0.0734785826101576,-2.53444319121056,"0.10–0.20"
"France","B",0.0565091103511264,-2.81518483854547,"0.10–0.20"
"France","B.1.1",0.282630990472605,-0.931448239640542,">0.20"
"France","B.1.13",0.00762172225463815,-4.86910200114057,"<0.10"
"France","B.1.159",0.561904761904762,0.248896047416624,">0.20"
"France","B.1.160",0.719445514052637,0.941712844043376,">0.20"
"France","B.1.160.30",0.0483299306044628,-2.98016735897538,"<0.10"
"France","B.1.208",0.0491388044579534,-2.96271905808313,"<0.10"
"France","B.1.212",0.00616496598639456,-5.08268861173631,"<0.10"
"France","B.1.258",0.0827796995526437,-2.40516482695791,"0.10–0.20"
"France","B.1.273",0.0276616729366513,-3.55965601043603,"<0.10"
"France","B.1.351",0.112620304480037,-2.06425093438935,"0.10–0.20"
